,id,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
73,75,"900 Paradise Cir Palmview, TX 78572 Palmview, TX 78572 Palmview, TX 78572 Palmview, TX 78572",220000,5,3,2870,Palmview,78572,TX,26.233787475989,-98.3601383936102,"{'x': -98.36018765899996, 'y': 26.233503253000038, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
74,76,"1809 Audrey Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",209000,3,2,2322,Mission,78572,TX,26.1946084208916,-98.2992077046217,"{'x': -98.29922395799997, 'y': 26.19445924200005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
75,77,"2811 Santa Ana Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",599000,7,7,4858,Mission,78572,TX,26.1734562647193,-98.2883990687097,"{'x': -98.28851346699997, 'y': 26.17336687100004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
76,78,"2802 Santa Lydia St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",275000,4,4,3858,Mission,78572,TX,26.1738790102377,-98.2976890807476,"{'x': -98.30008373799996, 'y': 26.159606559000053, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
77,79,"1503 Marla Dr Palmview, TX 78572 Palmview, TX 78572 Palmview, TX 78572 Palmview, TX 78572",71509,3,2,1274,Palmview,78572,TX,26.2335526965616,-98.3869492602312,"{'x': -98.38691528999999, 'y': 26.23382470000007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
78,80,"1504 Sheri Lee Dr Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",223000,4,3,2560,Mission,78572,TX,26.220449908803,-98.3016265600107,"{'x': -98.30158170599998, 'y': 26.220660707000036, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
79,81,"3503 San Benito St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",174000,3,2,1929,Mission,78572,TX,26.1685522220015,-98.293889679012,"{'x': -98.29391429399999, 'y': 26.16837027500003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
80,82,"3302 Santa Erica St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",187228,4,3,3266,Mission,78572,TX,26.1686733903961,-98.292426671935,"{'x': -98.30318994599997, 'y': 26.172538747000033, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
81,83,"4103 Santa Fe St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",180000,3,3,2229,Mission,78572,TX,26.1618556389691,-98.2981648257931,"{'x': -98.29666000799995, 'y': 26.170788714000025, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
82,84,"2008 Turtle Ln Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",176500,3,3,1861,Mission,78572,TX,26.2219341264753,-98.2915391102881,"{'x': -98.29100398799994, 'y': 26.22191469300003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
83,85,"2911 San Roman St Mission, TX 78572 Mission, TX 78572 Mission, TX 78572 Mission, TX 78572",249000,4,3,2215,Mission,78572,TX,26.1690950360574,-98.2996640773212,"{'x': -98.29967810199997, 'y': 26.16890038400004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
