Compare	Shape	Carat	Color	Clarity	Cut	Report	Origin	Price	 empty
Pear	0.39	I	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.36	H	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.33	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.32	G	SI1	Very Good	IGI	Lab Created	$230	View
Pear	0.30	G	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.30	F	SI1	Good	IGI	Lab Created	$230	View
Pear	0.32	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.36	I	VVS2	Good	IGI	Lab Created	$230	View
Cushion	0.31	G	VS1	Good	IGI	Lab Created	$230	View
Oval	0.32	F	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.30	D	SI2	Very Good	IGI	Lab Created	$230	View
Oval	0.30	E	SI1	Very Good	IGI	Lab Created	$230	View
Oval	0.30	G	VS1	Very Good	IGI	Lab Created	$230	View
Cushion	0.30	F	VS2	Ideal	IGI	Lab Created	$230	View
Oval	0.33	H	VS1	Ideal	IGI	Lab Created	$230	View
Cushion	0.30	F	VS2	Very Good	IGI	Lab Created	$230	View
Cushion	0.33	F	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.32	F	SI1	Very Good	IGI	Lab Created	$230	View
Cushion	0.34	H	VS2	Very Good	IGI	Lab Created	$230	View
Pear	0.30	F	VS2	Very Good	GCAL	Lab Created	$240	View
Oval	0.30	E	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.32	G	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.32	F	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.32	H	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.34	H	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.34	H	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.34	H	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	G	VS1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	G	VS2	Good	IGI	Lab Created	$240	View
Pear	0.35	G	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.32	G	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.35	H	VS2	Good	IGI	Lab Created	$240	View
Pear	0.37	I	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.31	G	VS2	Good	IGI	Lab Created	$240	View
Pear	0.31	G	VS2	Good	IGI	Lab Created	$240	View
Pear	0.35	H	VS2	Good	IGI	Lab Created	$240	View
Emerald	0.44	J	VS2	Fair	IGI	Lab Created	$240	View
Round	0.30	H	SI2	Good	IGI	Lab Created	$240	View
Round	0.30	G	SI2	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	SI1	Very Good	GCAL	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	GCAL	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Oval	0.32	G	VS1	Super Ideal	IGI	Lab Created	$240	View
Pear	0.33	G	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS1	Very Good	GCAL	Lab Created	$240	View
Pear	0.34	F	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Ideal	IGI	Lab Created	$240	View
Oval	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	G	VVS2	Good	IGI	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	GCAL	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.32	H	VS1	Very Good	GCAL	Lab Created	$240	View
Pear	0.30	F	VS1	Very Good	IGI	Lab Created	$240	View
Cushion	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	D	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	G	VS1	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	F	VS2	Good	IGI	Lab Created	$240	View
Cushion	0.30	F	VS1	Good	IGI	Lab Created	$240	View
Cushion	0.32	E	SI1	Very Good	IGI	Lab Created	$240	View
Cushion	0.32	E	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	F	SI1	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	H	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.33	F	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.35	G	SI1	Good	IGI	Lab Created	$240	View
Pear	0.32	G	VS2	Very Good	IGI	Lab Created	$240	View
Emerald	0.35	G	SI1	Ideal	IGI	Lab Created	$240	View
Pear	0.30	G	VS1	Very Good	IGI	Lab Created	$240	View
Pear	0.32	G	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.34	G	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.34	G	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	H	VS1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	G	VS2	Good	IGI	Lab Created	$240	View
Pear	0.35	G	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.31	G	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	E	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.34	G	SI1	Very Good	IGI	Lab Created	$240	View
Oval	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Oval	0.32	D	SI2	Very Good	IGI	Lab Created	$240	View
Pear	0.31	E	SI1	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS1	Very Good	IGI	Lab Created	$240	View
Pear	0.30	G	VVS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS1	Very Good	IGI	Lab Created	$240	View
Pear	0.30	E	VS2	Very Good	GCAL	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS1	Good	IGI	Lab Created	$240	View
Pear	0.32	F	VS2	Ideal	GCAL	Lab Created	$240	View
Pear	0.32	F	VS2	Ideal	IGI	Lab Created	$240	View
Oval	0.36	H	VS2	Super Ideal	IGI	Lab Created	$240	View
Pear	0.30	E	SI2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	E	VS2	Very Good	IGI	Lab Created	$240	View
Pear	0.30	F	VS1	Very Good	GCAL	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	GCAL	Lab Created	$240	View
Oval	0.32	F	VS2	Ideal	IGI	Lab Created	$240	View
Pear	0.32	F	VS2	Very Good	GCAL	Lab Created	$240	View
