,listID,address,price,bedrooms,bathrooms,square_feet,city,zipcode,state,lat,lon,SHAPE
141,143,2902 Santa Sofia Ct,650000.0,4,5,7262,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
142,144,3611 Grand Canal Dr,330000.0,5,5,4431,Mission,78572,TX,26.1680979506907,-98.3046439674601,"{'x': -98.3046439674601, 'y': 26.1680979506907, 'spatialReference': {'wkid': 4326}}"
143,145,1611 Sheri Lee Dr,334900.0,4,3,3263,Mission,78572,TX,26.2204180002024,-98.2982180060926,"{'x': -98.2982180060926, 'y': 26.2204180002024, 'spatialReference': {'wkid': 4326}}"
144,146,3303 San Andres St,199000.0,4,4,3031,Mission,78572,TX,26.1576578,-98.2976515,"{'x': -98.2976515, 'y': 26.1576578, 'spatialReference': {'wkid': 4326}}"
145,147,4005 Grand Canal Dr,269000.0,4,3,2169,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
146,148,3421 W Expressway 83,299000.0,6,5,5841,Mission,78572,TX,26.2316418820753,-98.3655065971346,"{'x': -98.3655065971346, 'y': 26.2316418820753, 'spatialReference': {'wkid': 4326}}"
147,149,2504 Starling Cir W,77500.0,2,1,1181,Palmview,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
148,150,2601 Grand Canal Dr,395000.0,5,5,3366,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
149,151,1414 N Mockingbird Ln,168000.0,3,2,1885,Palmview,78572,TX,26.2247371889573,-98.3949301419465,"{'x': -98.3949301419465, 'y': 26.2247371889573, 'spatialReference': {'wkid': 4326}}"
150,152,125 S Holland Ave,65000.0,3,2,1032,Mission,78572,TX,26.2072182115371,-98.3352261979092,"{'x': -98.3352261979092, 'y': 26.2072182115371, 'spatialReference': {'wkid': 4326}}"
151,153,1007 Burrus St,120000.0,3,2,1534,Mission,78572,TX,26.2201069816173,-98.33673095825,"{'x': -98.33673095825, 'y': 26.2201069816173, 'spatialReference': {'wkid': 4326}}"
152,154,2807 Santa Laura,560000.0,4,4,4165,Mission,78572,TX,26.1729999963639,-98.2867873529325,"{'x': -98.2867873529325, 'y': 26.1729999963639, 'spatialReference': {'wkid': 4326}}"
153,155,919 Rio Grande Dr,420000.0,4,4,3286,Mission,78572,TX,26.1825989466213,-98.2982606333837,"{'x': -98.2982606333837, 'y': 26.1825989466213, 'spatialReference': {'wkid': 4326}}"
154,156,817 Cimarron Dr,205000.0,3,3,2292,Mission,78572,TX,26.1931014107716,-98.2938166128762,"{'x': -98.2938166128762, 'y': 26.1931014107716, 'spatialReference': {'wkid': 4326}}"
155,157,3709 San Clemente,275000.0,3,3,2103,Mission,78572,TX,26.1701667849878,-98.2904850229786,"{'x': -98.2904850229786, 'y': 26.1701667849878, 'spatialReference': {'wkid': 4326}}"
156,158,2608 Cassandra St,450000.0,4,5,3680,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
157,159,2222 Hackberry,255000.0,4,4,2623,Mission,78572,TX,26.2214730557041,-98.2810557179632,"{'x': -98.2810557179632, 'y': 26.2214730557041, 'spatialReference': {'wkid': 4326}}"
158,160,2505 Sequoia Dr,259900.0,3,3,2779,Mission,78572,TX,26.2169236849884,-98.2793575746474,"{'x': -98.2793575746474, 'y': 26.2169236849884, 'spatialReference': {'wkid': 4326}}"
159,161,2905 Grand Canal Dr,357000.0,5,5,3775,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
160,162,913 Lake View Dr,139900.0,2,2,1782,Mission,78572,TX,26.2008166315491,-98.3502250308038,"{'x': -98.3502250308038, 'y': 26.2008166315491, 'spatialReference': {'wkid': 4326}}"
161,163,7810 Villa Rama North St,99000.0,3,1,1092,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
162,164,1501 S Stewart Rd,369000.0,4,3,3322,Mission,78572,TX,26.1882872208725,-98.3056698611351,"{'x': -98.3056698611351, 'y': 26.1882872208725, 'spatialReference': {'wkid': 4326}}"
163,165,1401 Garden Dr,164800.0,3,4,1730,Mission,78572,TX,26.2008350848349,-98.3075655104575,"{'x': -98.3075655104575, 'y': 26.2008350848349, 'spatialReference': {'wkid': 4326}}"
164,166,904 Rio Grande Dr,330000.0,5,3,3762,Mission,78572,TX,26.1828680961745,-98.2988763181678,"{'x': -98.2988763181678, 'y': 26.1828680961745, 'spatialReference': {'wkid': 4326}}"
165,167,3001 Santa Fe St,350000.0,5,4,3719,Mission,78572,TX,26.1728501031088,-98.2968047525781,"{'x': -98.2968047525781, 'y': 26.1728501031088, 'spatialReference': {'wkid': 4326}}"
166,168,107 Rio Grande Dr,494000.0,5,7,4950,Mission,78572,TX,26.1890587176563,-98.2933821507646,"{'x': -98.2933821507646, 'y': 26.1890587176563, 'spatialReference': {'wkid': 4326}}"
167,169,2203 Truman St,156000.0,3,2,1845,Mission,78572,TX,26.2319166916595,-98.3400508406849,"{'x': -98.3400508406849, 'y': 26.2319166916595, 'spatialReference': {'wkid': 4326}}"
168,170,2903 Capri Ct,375000.0,3,4,3446,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
169,171,1809 Sebastian St,398750.0,5,7,4731,Mission,78572,TX,26.1952582886091,-98.2986354741223,"{'x': -98.2986354741223, 'y': 26.1952582886091, 'spatialReference': {'wkid': 4326}}"
170,172,2216 Torrie Ln,217000.0,4,2,2153,Mission,78572,TX,26.2216188629412,-98.279226898761,"{'x': -98.279226898761, 'y': 26.2216188629412, 'spatialReference': {'wkid': 4326}}"
171,173,3901 San Efrain,495000.0,5,6,3328,Mission,78572,TX,26.1719455990723,-98.2890079468805,"{'x': -98.2890079468805, 'y': 26.1719455990723, 'spatialReference': {'wkid': 4326}}"
172,174,907 E Veterans Blvd,274837.0,3,3,2578,Palmview,78572,TX,26.2345916078424,-98.3593581751301,"{'x': -98.3593581751301, 'y': 26.2345916078424, 'spatialReference': {'wkid': 4326}}"
173,175,2211 Lilly Cove Dr,219000.0,3,3,2565,Mission,78572,TX,26.2228179722619,-98.2893819969898,"{'x': -98.2893819969898, 'y': 26.2228179722619, 'spatialReference': {'wkid': 4326}}"
174,176,2503 San Esteban St,269000.0,4,3,2392,Mission,78572,TX,26.2280628113049,-98.3767135906025,"{'x': -98.3767135906025, 'y': 26.2280628113049, 'spatialReference': {'wkid': 4326}}"
175,177,1208 Cimarron Dr,299000.0,5,4,3716,Mission,78572,TX,26.189076327524,-98.2965959120115,"{'x': -98.2965959120115, 'y': 26.189076327524, 'spatialReference': {'wkid': 4326}}"
176,178,2102 Colorado St,185000.0,3,3,1590,Mission,78572,TX,26.192982217117,-98.2936659934227,"{'x': -98.2936659934227, 'y': 26.192982217117, 'spatialReference': {'wkid': 4326}}"
177,179,102 Saturn St,119900.0,2,2,1164,Mission,78572,TX,26.203645377528,-98.3056555926642,"{'x': -98.3056555926642, 'y': 26.203645377528, 'spatialReference': {'wkid': 4326}}"
178,180,806 Carolina Ave,45000.0,2,1,910,Mission,78572,TX,26.199178970231,-98.3434619285584,"{'x': -98.3434619285584, 'y': 26.199178970231, 'spatialReference': {'wkid': 4326}}"
179,181,237 S Greene Rd,295000.0,6,4,3899,Palmview,78572,TX,26.233519929511,-98.3852158069983,"{'x': -98.3852158069983, 'y': 26.233519929511, 'spatialReference': {'wkid': 4326}}"
180,182,2022 E 21st St,255000.0,4,3,2417,Mission,78572,TX,26.2231276963215,-98.2996627432994,"{'x': -98.2996627432994, 'y': 26.2231276963215, 'spatialReference': {'wkid': 4326}}"
181,183,3100 San Sebastian St,219800.0,4,3,3060,Mission,78572,TX,26.1573751082734,-98.3005902310681,"{'x': -98.3005902310681, 'y': 26.1573751082734, 'spatialReference': {'wkid': 4326}}"
